start	end	type
6389	cpd:C00122;6389	type2
cpd:C00122	cpd:C00122;6389	type3
cpd:C00122;6389	cpd:C00042	type4
6390	cpd:C00122;6390	type2
cpd:C00122	cpd:C00122;6390	type3
cpd:C00122;6390	cpd:C00042	type4
2271	cpd:C00149;2271	type2
cpd:C00149	cpd:C00149;2271	type3
cpd:C00149;2271	cpd:C00122	type4
2271	cpd:C00122;2271	type2
cpd:C00122	cpd:C00122;2271	type3
cpd:C00122;2271	cpd:C00149	type4
48	cpd:C00417;48	type2
cpd:C00417	cpd:C00417;48	type3
cpd:C00417;48	cpd:C00311	type4
50	cpd:C00417;50	type2
cpd:C00417	cpd:C00417;50	type3
cpd:C00417;50	cpd:C00311	type4
48	cpd:C00311;48	type2
cpd:C00311	cpd:C00311;48	type3
cpd:C00311;48	cpd:C00417	type4
50	cpd:C00311;50	type2
cpd:C00311	cpd:C00311;50	type3
cpd:C00311;50	cpd:C00417	type4
48	cpd:C00158;48	type2
cpd:C00158	cpd:C00158;48	type3
cpd:C00158;48	cpd:C00417	type4
50	cpd:C00158;50	type2
cpd:C00158	cpd:C00158;50	type3
cpd:C00158;50	cpd:C00417	type4
48	cpd:C00417;48	type2
cpd:C00417	cpd:C00417;48	type3
cpd:C00417;48	cpd:C00158	type4
50	cpd:C00417;50	type2
cpd:C00417	cpd:C00417;50	type3
cpd:C00417;50	cpd:C00158	type4
1431	cpd:C00024;cpd:C00036;1431	type2
cpd:C00024	cpd:C00024;cpd:C00036;1431	type3
cpd:C00036	cpd:C00024;cpd:C00036;1431	type3
cpd:C00024;cpd:C00036;1431	cpd:C00158	type4
1431	cpd:C00158;1431	type2
cpd:C00158	cpd:C00158;1431	type3
cpd:C00158;1431	cpd:C00036	type4
1431	cpd:C00036;1431	type2
cpd:C00036	cpd:C00036;1431	type3
cpd:C00036;1431	cpd:C00158	type4
1431	cpd:C00158;1431	type2
cpd:C00158	cpd:C00158;1431	type3
cpd:C00158;1431	cpd:C00024	type4
cpd:C00158;1431	cpd:C00036	type4
4190	cpd:C00149;4190	type2
cpd:C00149	cpd:C00149;4190	type3
cpd:C00149;4190	cpd:C00036	type4
4191	cpd:C00149;4191	type2
cpd:C00149	cpd:C00149;4191	type3
cpd:C00149;4191	cpd:C00036	type4
4190	cpd:C00036;4190	type2
cpd:C00036	cpd:C00036;4190	type3
cpd:C00036;4190	cpd:C00149	type4
4191	cpd:C00036;4191	type2
cpd:C00036	cpd:C00036;4191	type3
cpd:C00036;4191	cpd:C00149	type4
5091	cpd:C00022;5091	type2
cpd:C00022	cpd:C00022;5091	type3
cpd:C00022;5091	cpd:C00036	type4
